state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
NC,2002,5804603,1812306,102545,144814,461933,4076022,4250179,116474,450446,552145,586567,567905,592160,567593,634518,640648,654270,608033,549175,456119,348965,293798,251881,205887,139921,109696
WV,2012,1741378,71430,3767,15296,24689,916825,939735,20762,82674,105989,108571,113332,125187,106878,113520,111370,121310,125876,137973,139854,131309,101055,75220,55884,41866,37930
MI,2002,7916992,1460254,66588,214740,357136,4915539,5100171,129825,534407,707356,770306,727968,683028,600098,702771,743805,804779,768119,673707,536568,402810,327286,305171,262910,185427,149369
HI,2012,302891,33235,3564,924049,128081,698169,693651,18605,72542,85133,81587,82024,100539,101311,94891,85324,89776,91296,96233,94898,87023,67667,45375,33975,29640,33981
UT,2012,2315888,36005,30387,95609,377893,1435805,1419977,49727,208288,257938,239155,219234,241936,215912,226193,192554,166799,150177,155459,143235,117852,90184,64213,48269,35572,33085
RI,2004,868903,58665,5402,30593,111016,518204,556375,12993,50125,65871,73730,80581,78101,66436,68807,78176,85796,83550,72481,62256,45973,35459,32543,32472,25955,23274
MD,2016,3160007,1836453,17971,415215,586801,2914466,3101981,72580,294515,376196,373806,385934,392558,420525,413925,391864,369520,412617,442129,430881,363187,305195,210927,144625,100532,114931
OK,2016,2716499,331832,372364,98928,403938,1943903,1979658,52409,214501,270565,265766,262106,279362,276604,268856,250397,228387,230805,245797,257337,230531,198112,143778,104832,72846,70570
ID,2010,1337550,12628,20109,23688,177035,786916,784094,23596,97909,121264,117312,115088,108521,106610,102697,96617,95078,103026,105193,97603,84322,63938,46670,34440,25681,25445
MS,2014,1728936,1127555,15079,32672,88158,1453222,1539178,38286,154730,209767,205556,207807,225452,196668,195582,181968,186558,184788,204745,199078,173367,144083,105518,77211,51864,49372
LA,2006,2709056,1355126,27773,65270,145440,2098593,2204072,52290,235992,288596,306045,326381,329137,300741,259521,281618,310162,328225,304278,268931,194988,155046,124472,103659,73879,58704
SD,2016,722829,20282,76451,13723,32169,436272,429182,12217,49152,60477,57842,56838,61366,55852,56414,52857,45735,47699,54496,59850,55854,46846,30618,22243,17582,21516
WV,2010,1744113,69975,3634,14085,22423,914355,939875,20205,83789,106046,109075,119273,118320,108431,112594,116473,120512,132481,142812,139569,126746,91913,72027,54637,43130,36197
IL,2004,8402101,1893746,24304,522350,1747272,6175564,6414209,175433,696198,862340,932571,905172,893225,855707,895938,901438,980971,944741,827820,683028,523872,412331,349297,310471,235573,203647
MD,2012,3220202,1768832,17525,370480,512612,2852855,3036796,72345,295026,369740,377928,396877,402575,408587,393651,363230,412060,444804,452911,401593,335370,256060,175780,127174,98501,105439
NH,2000,1188035,10147,3330,17673,20697,609771,630111,14147,61603,88330,93825,87097,69193,70774,88821,109381,111991,98907,86900,63210,47322,41145,37214,30706,20989,18327
ID,2012,1351262,13683,20407,25525,185034,799232,796679,22168,94414,122375,119496,113325,111446,105468,105675,96836,97357,97153,105651,101646,90301,72025,51656,36383,26294,26242
RI,2010,819071,64174,5216,33131,131745,508958,544379,11070,46217,60370,63576,79676,82695,66075,61532,63150,72760,81020,81098,71241,60396,43205,31226,26479,24512,27039
HI,2002,269807,30513,3301,845094,90898,623421,616192,16627,61817,80570,85911,81762,91543,81985,86924,90941,94964,93689,87277,69772,50378,42770,41556,36851,24684,19592
ND,2014,647316,17747,40275,10854,23712,379182,360722,11129,40814,48255,42777,48830,70300,56255,52191,42952,39481,40669,49228,49772,42410,31523,22625,17950,14762,17981
KS,2002,2253591,165164,27062,57218,210500,1341637,1371898,38496,152001,190379,203075,212019,201799,164712,178102,189700,212385,203215,173713,135862,103693,88791,83382,74028,56156,52027
